0.26352  	0.23758  	1.16564  	0.10813  	-0.3856  	0.00535  	0.50871  	0.31149  	0.50509  	0.74259  	1.11104  	0.66155  	-0.3012  	-0.9383  	0.20498  	0.07769  	0.70681  	0.97107  	0.41311  	0.45837  	0.25623  	-0.3429  	0.71269  	-0.2069  	-0.7601  	0.15129  	-0.0024  	-0.6708  	-0.6786  	-0.3111  	-0.0048  	0.14310  	0.24352  	0.02741  	0.00719  	0.02934  	0.47509  	0.35889  	0.36340  	0.28540  	0.17443  	0.08294  	0.27341  	-0.2052  	-0.1154  	0.04427  	0.03409  	0.04241  	-0.0173  	0.06568  	0.02807  	0.03987  	-0.0255  	0.06787  	0.00856  	-0.0347  	-0.0322  	0.01143  	-0.0266  	0.02420  	-0.0037  	-0.0609  	0.03080  	-0.0004  	0.19537  	-0.0107  	0.00985  	0.00591  	-0.0048  	0.75705  	0.48795  	264.680  	185.929  	
0.27859  	0.23866  	1.15896  	0.13251  	-0.3564  	0.00709  	0.51653  	0.30007  	0.49652  	0.73520  	1.07061  	0.64572  	-0.2846  	-0.9284  	0.20849  	0.07489  	0.70595  	0.98401  	0.41618  	0.47124  	0.22478  	-0.3364  	0.69145  	-0.2050  	-0.7372  	0.15185  	0.00208  	-0.6528  	-0.6404  	-0.3051  	-0.0098  	0.13516  	0.24470  	0.02423  	0.01091  	0.04306  	0.44167  	0.34098  	0.37761  	0.29722  	0.16518  	0.08262  	0.27084  	-0.2067  	-0.1142  	0.04408  	0.03430  	0.04522  	-0.0133  	0.06770  	0.03477  	0.03863  	-0.0262  	0.06393  	0.00926  	-0.0349  	-0.0306  	0.01162  	-0.0273  	0.02280  	-0.0068  	-0.0608  	0.03422  	-0.0025  	0.19537  	-0.0107  	0.00985  	0.00591  	-0.0048  	0.75705  	0.48795  	264.680  	185.929  	
0.17812  	0.21896  	1.11751  	0.11074  	-0.3163  	-0.0471  	0.51927  	0.26400  	0.49343  	0.82314  	1.02273  	0.66948  	-0.2753  	-1.0136  	0.10225  	0.03705  	0.68106  	1.05831  	0.39541  	0.57850  	0.05769  	-0.3730  	0.60434  	-0.3220  	-0.7276  	0.17675  	-0.1575  	-0.4514  	-0.4627  	-0.3032  	-0.0014  	0.09374  	0.26444  	0.03007  	-0.1018  	0.10895  	0.29537  	0.29965  	0.45366  	0.33848  	0.22215  	0.07646  	0.29196  	-0.2092  	-0.1128  	0.04363  	0.03899  	0.05171  	-0.0128  	0.06660  	0.04902  	0.03464  	-0.0277  	0.05696  	0.01164  	-0.0395  	-0.0237  	0.01207  	-0.0188  	0.01791  	-0.0056  	-0.0720  	0.03549  	-3.2432  	0.19537  	-0.0107  	0.00985  	0.00591  	-0.0048  	0.75705  	0.48795  	264.680  	185.929  	
0.14210  	0.17397  	1.01530  	0.12018  	-0.2751  	-0.1388  	0.56417  	0.17825  	0.46028  	0.87748  	0.89223  	0.59665  	-0.2493  	-0.9947  	0.10895  	-0.0393  	0.67405  	1.10196  	0.39518  	0.60837  	-0.0678  	-0.3838  	0.54351  	-0.3458  	-0.6459  	0.17509  	-0.1578  	-0.3874  	-0.3484  	-0.2661  	-0.0164  	0.09284  	0.24096  	0.02768  	-0.1347  	0.16110  	0.23543  	0.27567  	0.46419  	0.37538  	0.21029  	0.08851  	0.29311  	-0.1995  	-0.1082  	0.04254  	0.03469  	0.05239  	-0.0089  	0.05984  	0.04530  	0.03421  	-0.0309  	0.05839  	0.01262  	-0.0397  	-0.0193  	0.00658  	-0.0179  	0.02089  	-0.0070  	-0.0732  	0.03110  	0.00112  	0.19537  	-0.0107  	0.00985  	0.00591  	-0.0048  	0.75705  	0.48795  	264.680  	185.929  	
0.00304  	0.13204  	0.93172  	0.11222  	-0.2597  	-0.2089  	0.54175  	0.14265  	0.42337  	0.85792  	0.94177  	0.58886  	-0.2719  	-1.0666  	0.01210  	-0.0215  	0.67272  	1.10939  	0.40643  	0.64602  	-0.0594  	-0.3941  	0.50337  	-0.3372  	-0.6216  	0.15842  	-0.1883  	-0.3726  	-0.3250  	-0.2759  	-0.0126  	0.09822  	0.20967  	0.05047  	-0.1248  	0.19119  	0.23790  	0.28200  	0.47563  	0.38320  	0.23358  	0.08353  	0.27942  	-0.2057  	-0.1027  	0.05469  	0.03393  	0.05200  	-0.0239  	0.06262  	0.04477  	0.03271  	-0.0314  	0.05195  	0.01209  	-0.0382  	-0.0201  	0.00863  	-0.0161  	0.02350  	-0.0141  	-0.0717  	0.02193  	-0.0007  	0.19537  	-0.0107  	0.00985  	0.00591  	-0.0048  	0.75705  	0.48795  	264.680  	185.929  	
-0.1632  	0.06593  	0.79725  	-0.0668  	-0.3089  	-0.3273  	0.52312  	0.04236  	0.38108  	0.88866  	0.91847  	0.63525  	-0.3194  	-1.2533  	-0.0590  	-0.0895  	0.67539  	1.14706  	0.41159  	0.62850  	-0.1500  	-0.4057  	0.57234  	-0.3418  	-0.6794  	0.16614  	-0.2075  	-0.3318  	-0.2733  	-0.2731  	0.00903  	0.08215  	0.20735  	0.05104  	-0.1992  	0.23032  	0.15207  	0.25863  	0.49252  	0.45905  	0.25559  	0.06842  	0.25439  	-0.1911  	-0.1086  	0.04870  	0.03914  	0.04888  	-0.0129  	0.06742  	0.04850  	0.03238  	-0.0371  	0.06193  	0.01089  	-0.0470  	-0.0189  	0.01843  	-0.0128  	0.02261  	-0.0113  	-0.0743  	0.03469  	-0.0008  	0.19537  	-0.0107  	0.00985  	0.00591  	-0.0048  	0.75705  	0.48795  	264.680  	185.929  	
-0.4971  	-0.0379  	0.61919  	-0.2450  	-0.3577  	-0.5584  	0.55927  	-0.0489  	0.30719  	1.03923  	1.03167  	0.59936  	-0.3192  	-1.2558  	-0.1792  	-0.1755  	0.63586  	1.18379  	0.40202  	0.60756  	-0.2786  	-0.3820  	0.52162  	-0.3641  	-0.6208  	0.16840  	-0.2351  	-0.2805  	-0.2193  	-0.2722  	0.03733  	0.04342  	0.21072  	0.05793  	-0.2260  	0.25535  	0.07272  	0.20356  	0.52592  	0.44882  	0.23234  	0.08922  	0.25799  	-0.1972  	-0.0930  	0.04290  	0.02576  	0.04894  	-0.0227  	0.05734  	0.05034  	0.03865  	-0.0413  	0.04981  	0.01665  	-0.0521  	-0.0175  	0.01599  	-0.0190  	0.01769  	-0.0024  	-0.0710  	0.03317  	0.00036  	0.19537  	-0.0107  	0.00985  	0.00591  	-0.0048  	0.75705  	0.48795  	264.680  	185.929  	
-0.6623  	-0.0712  	0.57685  	-0.5098  	-0.4311  	-0.6175  	0.51677  	-0.0049  	0.32202  	1.00998  	1.31198  	0.56154  	-0.3997  	-1.3431  	-0.4549  	-0.1718  	0.63804  	1.09923  	0.37593  	0.62821  	-0.0965  	-0.3892  	0.60909  	-0.2833  	-0.8113  	0.21396  	-0.2582  	-0.3468  	-0.3694  	-0.3331  	0.04158  	0.05485  	0.22172  	0.04873  	-0.1950  	0.16371  	0.13874  	0.22188  	0.49098  	0.39776  	0.21023  	0.11366  	0.21322  	-0.2260  	-0.1029  	0.02334  	0.05084  	0.02864  	-0.0194  	0.06376  	0.05132  	0.03695  	-0.0313  	0.05841  	0.00758  	-0.0547  	-0.0190  	0.00845  	-0.0255  	0.02721  	-0.0041  	-0.0623  	0.02259  	-0.0045  	0.19537  	-0.0107  	0.00985  	0.00591  	-0.0048  	0.75705  	0.48795  	264.680  	185.929  	
-0.8107  	-0.0847  	0.56437  	-0.6232  	-0.4608  	-0.7035  	0.52295  	0.02778  	0.33818  	1.06088  	1.38047  	0.52892  	-0.4119  	-1.3570  	-0.5311  	-0.2483  	0.62363  	1.08552  	0.37411  	0.67147  	-0.0894  	-0.3754  	0.60119  	-0.3272  	-0.7941  	0.23624  	-0.2921  	-0.3092  	-0.3813  	-0.3564  	0.01900  	0.03988  	0.22417  	0.05649  	-0.2150  	0.17934  	0.14351  	0.23398  	0.48070  	0.37603  	0.21687  	0.09935  	0.20020  	-0.2244  	-0.1097  	0.01011  	0.05076  	0.03705  	-0.0267  	0.05699  	0.04038  	0.03159  	-0.0307  	0.06939  	0.00219  	-0.0571  	-0.0074  	0.00348  	-0.0370  	0.02719  	-0.0007  	-0.0562  	0.03061  	0.00130  	0.19537  	-0.0107  	0.00985  	0.00591  	-0.0048  	0.75705  	0.48795  	264.680  	185.929  	
-0.8792  	-0.0834  	0.56167  	-0.5836  	-0.4468  	-0.7164  	0.49407  	0.05272  	0.33600  	1.12205  	1.40570  	0.57919  	-0.4203  	-1.3408  	-0.5445  	-0.2491  	0.63028  	1.07602  	0.41017  	0.68734  	-0.1032  	-0.3866  	0.62554  	-0.3153  	-0.8106  	0.24648  	-0.3105  	-0.2561  	-0.3682  	-0.3796  	0.01957  	0.02409  	0.23743  	0.07324  	-0.2583  	0.16556  	0.13482  	0.22219  	0.50345  	0.36310  	0.22182  	0.08814  	0.21022  	-0.2092  	-0.1164  	0.01704  	0.05426  	0.03886  	-0.0390  	0.05097  	0.02037  	0.02974  	-0.0309  	0.06825  	0.00151  	-0.0663  	-0.0158  	0.00490  	-0.0381  	0.02541  	0.00628  	-0.0640  	0.03007  	0.00425  	0.19537  	-0.0107  	0.00985  	0.00591  	-0.0048  	0.75705  	0.48795  	264.680  	185.929  	
